--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Layer (type)                                                  Input Shape                                                                                    Output Shape                                               Param #    
        Conv2D-239                                               [[1, 8, 128, 128]]                                                                               [1, 8, 128, 128]                                               576      
        Conv2D-240                                               [[1, 12, 128, 128]]                                                                              [1, 12, 128, 128]                                             1,296     
        Conv2D-241                                               [[1, 14, 128, 128]]                                                                              [1, 14, 128, 128]                                             1,764     
        Conv2D-242                                               [[1, 15, 128, 128]]                                                                              [1, 15, 128, 128]                                             2,025     
        HSBlock-37                                               [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
    SyncBatchNorm-131                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
         ReLU-54                                                 [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
     HSBlockBNReLU-37                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-243                                               [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                             5,120     
    SyncBatchNorm-132                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
        ConvBN-50                                                [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
         ReLU-55                                                [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
     HSBottleNeck-18                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
        Conv2D-244                                              [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                             5,120     
    SyncBatchNorm-133                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
      ConvBNReLU-46                                             [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-245                                               [[1, 8, 128, 128]]                                                                               [1, 8, 128, 128]                                               576      
        Conv2D-246                                               [[1, 12, 128, 128]]                                                                              [1, 12, 128, 128]                                             1,296     
        Conv2D-247                                               [[1, 14, 128, 128]]                                                                              [1, 14, 128, 128]                                             1,764     
        Conv2D-248                                               [[1, 15, 128, 128]]                                                                              [1, 15, 128, 128]                                             2,025     
        HSBlock-38                                               [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
    SyncBatchNorm-134                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
         ReLU-56                                                 [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
     HSBlockBNReLU-38                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-249                                               [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                             5,120     
    SyncBatchNorm-135                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
        ConvBN-51                                                [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
HSBottleNeckWithOutReLU-20                                      [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      BasicBlock-13                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
        Conv2D-250                                              [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                             5,120     
    SyncBatchNorm-136                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
      ConvBNReLU-47                                             [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-251                                               [[1, 8, 128, 128]]                                                                               [1, 8, 128, 128]                                               576      
        Conv2D-252                                               [[1, 12, 128, 128]]                                                                              [1, 12, 128, 128]                                             1,296     
        Conv2D-253                                               [[1, 14, 128, 128]]                                                                              [1, 14, 128, 128]                                             1,764     
        Conv2D-254                                               [[1, 15, 128, 128]]                                                                              [1, 15, 128, 128]                                             2,025     
        HSBlock-39                                               [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
    SyncBatchNorm-137                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
         ReLU-57                                                 [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
     HSBlockBNReLU-39                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-255                                               [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                             5,120     
    SyncBatchNorm-138                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
        ConvBN-52                                                [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
         ReLU-58                                                [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
     HSBottleNeck-19                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
        Conv2D-256                                              [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                             5,120     
    SyncBatchNorm-139                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
      ConvBNReLU-48                                             [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-257                                               [[1, 8, 128, 128]]                                                                               [1, 8, 128, 128]                                               576      
        Conv2D-258                                               [[1, 12, 128, 128]]                                                                              [1, 12, 128, 128]                                             1,296     
        Conv2D-259                                               [[1, 14, 128, 128]]                                                                              [1, 14, 128, 128]                                             1,764     
        Conv2D-260                                               [[1, 15, 128, 128]]                                                                              [1, 15, 128, 128]                                             2,025     
        HSBlock-40                                               [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
    SyncBatchNorm-140                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
         ReLU-59                                                 [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
     HSBlockBNReLU-40                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-261                                               [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                             5,120     
    SyncBatchNorm-141                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
        ConvBN-53                                                [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
HSBottleNeckWithOutReLU-21                                      [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      BasicBlock-14                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
        Conv2D-262                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-142                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-49                                              [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-263                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                576      
        Conv2D-264                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,296     
        Conv2D-265                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,764     
        Conv2D-266                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,025     
        HSBlock-41                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-143                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-60                                                  [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
     HSBlockBNReLU-41                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-267                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                             10,240     
    SyncBatchNorm-144                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
        ConvBN-54                                                 [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
         ReLU-61                                                 [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
     HSBottleNeck-20                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
        Conv2D-268                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-145                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-50                                              [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-269                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                576      
        Conv2D-270                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,296     
        Conv2D-271                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,764     
        Conv2D-272                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,025     
        HSBlock-42                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-146                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-62                                                  [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
     HSBlockBNReLU-42                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-273                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                             10,240     
    SyncBatchNorm-147                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
        ConvBN-55                                                 [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
HSBottleNeckWithOutReLU-22                                       [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      BasicBlock-15                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
        Conv2D-274                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-148                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-51                                              [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-275                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                576      
        Conv2D-276                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,296     
        Conv2D-277                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,764     
        Conv2D-278                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,025     
        HSBlock-43                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-149                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-63                                                  [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
     HSBlockBNReLU-43                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-279                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                             10,240     
    SyncBatchNorm-150                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
        ConvBN-56                                                 [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
         ReLU-64                                                 [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
     HSBottleNeck-21                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
        Conv2D-280                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-151                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-52                                              [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-281                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                576      
        Conv2D-282                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,296     
        Conv2D-283                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,764     
        Conv2D-284                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,025     
        HSBlock-44                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-152                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-65                                                  [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
     HSBlockBNReLU-44                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-285                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                             10,240     
    SyncBatchNorm-153                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
        ConvBN-57                                                 [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
HSBottleNeckWithOutReLU-23                                       [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      BasicBlock-16                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
        Branches-3                           [[[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64]]]                                      [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64]]                           0       
        Conv2D-286                                              [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                             5,120     
    SyncBatchNorm-154                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
      ConvBNReLU-53                                             [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-287                                               [[1, 8, 128, 128]]                                                                               [1, 8, 128, 128]                                               64       
        Conv2D-288                                               [[1, 12, 128, 128]]                                                                              [1, 12, 128, 128]                                              144      
        Conv2D-289                                               [[1, 14, 128, 128]]                                                                              [1, 14, 128, 128]                                              196      
        Conv2D-290                                               [[1, 15, 128, 128]]                                                                              [1, 15, 128, 128]                                              225      
        HSBlock-45                                               [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
    SyncBatchNorm-155                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
         ReLU-66                                                 [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
     HSBlockBNReLU-45                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-291                                               [[1, 40, 128, 128]]                                                                              [1, 64, 128, 128]                                             2,560     
    SyncBatchNorm-156                                            [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
        ConvBN-58                                                [[1, 40, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
        Conv2D-292                                              [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                             8,192     
    SyncBatchNorm-157                                            [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
        ConvBN-59                                               [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
HSBottleNeckWithOutReLU-24                                      [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
        Conv2D-293                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-158                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-54                                              [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-294                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                64       
        Conv2D-295                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                               144      
        Conv2D-296                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                               196      
        Conv2D-297                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                               225      
        HSBlock-46                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-159                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-67                                                  [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
     HSBlockBNReLU-46                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-298                                                [[1, 40, 64, 64]]                                                                                [1, 64, 64, 64]                                              2,560     
    SyncBatchNorm-160                                             [[1, 64, 64, 64]]                                                                                [1, 64, 64, 64]                                               256      
        ConvBN-60                                                 [[1, 40, 64, 64]]                                                                                [1, 64, 64, 64]                                                0       
        Conv2D-299                                               [[1, 256, 64, 64]]                                                                                [1, 64, 64, 64]                                             16,384     
    SyncBatchNorm-161                                             [[1, 64, 64, 64]]                                                                                [1, 64, 64, 64]                                               256      
        ConvBN-61                                                [[1, 256, 64, 64]]                                                                                [1, 64, 64, 64]                                                0       
HSBottleNeckWithOutReLU-25                                       [[1, 256, 64, 64]]                                                                                [1, 64, 64, 64]                                                0       
        Conv2D-300                                               [[1, 64, 256, 256]]                                                                             [1, 128, 128, 128]                                            73,728     
    SyncBatchNorm-162                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
        ConvBN-62                                                [[1, 64, 256, 256]]                                                                             [1, 128, 128, 128]                                               0       
        Conv2D-301                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-163                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-55                                              [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-302                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                64       
        Conv2D-303                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                               144      
        Conv2D-304                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                               196      
        Conv2D-305                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                               225      
        HSBlock-47                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-164                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-68                                                  [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
     HSBlockBNReLU-47                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-306                                                [[1, 40, 64, 64]]                                                                               [1, 128, 64, 64]                                              5,120     
    SyncBatchNorm-165                                            [[1, 128, 64, 64]]                                                                               [1, 128, 64, 64]                                               512      
        ConvBN-63                                                 [[1, 40, 64, 64]]                                                                               [1, 128, 64, 64]                                                0       
        Conv2D-307                                               [[1, 256, 64, 64]]                                                                               [1, 128, 64, 64]                                             32,768     
    SyncBatchNorm-166                                            [[1, 128, 64, 64]]                                                                               [1, 128, 64, 64]                                               512      
        ConvBN-64                                                [[1, 256, 64, 64]]                                                                               [1, 128, 64, 64]                                                0       
HSBottleNeckWithOutReLU-26                                       [[1, 256, 64, 64]]                                                                               [1, 128, 64, 64]                                                0       
        Conv2D-308                                               [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                            36,864     
    SyncBatchNorm-167                                            [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
      ConvBNReLU-56                                              [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                               0       
        Conv2D-309                                               [[1, 64, 128, 128]]                                                                              [1, 256, 64, 64]                                             147,456    
    SyncBatchNorm-168                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
        ConvBN-65                                                [[1, 64, 128, 128]]                                                                              [1, 256, 64, 64]                                                0       
        Conv2D-310                                              [[1, 128, 128, 128]]                                                                              [1, 256, 64, 64]                                             294,912    
    SyncBatchNorm-169                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
        ConvBN-66                                               [[1, 128, 128, 128]]                                                                              [1, 256, 64, 64]                                                0       
