--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Layer (type)                                                  Input Shape                                                                                    Output Shape                                               Param #    
        Conv2D-29                                                [[1, 15, 256, 256]]                                                                              [1, 15, 256, 256]                                              225      
        HSBlock-4                                                [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     SyncBatchNorm-17                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
          ReLU-6                                                 [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     HSBlockBNReLU-4                                             [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-30                                                [[1, 40, 256, 256]]                                                                             [1, 256, 256, 256]                                            10,240     
     SyncBatchNorm-18                                           [[1, 256, 256, 256]]                                                                             [1, 256, 256, 256]                                             1,024     
         ConvBN-5                                                [[1, 40, 256, 256]]                                                                             [1, 256, 256, 256]                                               0       
        Conv2D-31                                                [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                            16,384     
     SyncBatchNorm-19                                           [[1, 256, 256, 256]]                                                                             [1, 256, 256, 256]                                             1,024     
         ConvBN-6                                                [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                               0       
HSBottleNeckWithOutReLU-2                                        [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                               0       
    BottleneckBlock-1                                            [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                               0       
        Conv2D-32                                               [[1, 256, 256, 256]]                                                                              [1, 40, 256, 256]                                            10,240     
     SyncBatchNorm-20                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
      ConvBNReLU-10                                             [[1, 256, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-33                                                [[1, 8, 256, 256]]                                                                               [1, 8, 256, 256]                                               64       
        Conv2D-34                                                [[1, 12, 256, 256]]                                                                              [1, 12, 256, 256]                                              144      
        Conv2D-35                                                [[1, 14, 256, 256]]                                                                              [1, 14, 256, 256]                                              196      
        Conv2D-36                                                [[1, 15, 256, 256]]                                                                              [1, 15, 256, 256]                                              225      
        HSBlock-5                                                [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     SyncBatchNorm-21                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
          ReLU-7                                                 [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     HSBlockBNReLU-5                                             [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-37                                                [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                             2,560     
     SyncBatchNorm-22                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
         ConvBN-7                                                [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
        Conv2D-38                                               [[1, 256, 256, 256]]                                                                              [1, 64, 256, 256]                                            16,384     
     SyncBatchNorm-23                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
         ConvBN-8                                               [[1, 256, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
          ReLU-8                                                 [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      HSBottleNeck-3                                            [[1, 256, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
        Conv2D-39                                                [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                             2,560     
     SyncBatchNorm-24                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
      ConvBNReLU-11                                              [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-40                                                [[1, 8, 256, 256]]                                                                               [1, 8, 256, 256]                                               576      
        Conv2D-41                                                [[1, 12, 256, 256]]                                                                              [1, 12, 256, 256]                                             1,296     
        Conv2D-42                                                [[1, 14, 256, 256]]                                                                              [1, 14, 256, 256]                                             1,764     
        Conv2D-43                                                [[1, 15, 256, 256]]                                                                              [1, 15, 256, 256]                                             2,025     
        HSBlock-6                                                [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     SyncBatchNorm-25                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
          ReLU-9                                                 [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     HSBlockBNReLU-6                                             [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-44                                                [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                             2,560     
