----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Layer (type)                                             Input Shape                                                                                    Output Shape                                               Param #    
   ConvBN-25                                          [[1, 128, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
HSBottleNeck-17                                       [[1, 128, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
   Conv2D-111                                          [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                             2,600     
SyncBatchNorm-60                                       [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
 ConvBNReLU-18                                         [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
   Conv2D-112                                          [[1, 8, 256, 256]]                                                                               [1, 8, 256, 256]                                               584      
   Conv2D-113                                          [[1, 12, 256, 256]]                                                                              [1, 12, 256, 256]                                             1,308     
   Conv2D-114                                          [[1, 14, 256, 256]]                                                                              [1, 14, 256, 256]                                             1,778     
   Conv2D-115                                          [[1, 15, 256, 256]]                                                                              [1, 15, 256, 256]                                             2,040     
   HSBlock-18                                          [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
SyncBatchNorm-61                                       [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
HSBlockBNReLU-18                                       [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
   Conv2D-116                                          [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                             2,624     
SyncBatchNorm-62                                       [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
   ConvBN-26                                           [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
HSBottleNeck-18                                        [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
  UpSampling-4                               [[1, 64, 128, 128], [1, 64, 256, 256]]                                                                     [1, 64, 256, 256]                                               0       
   Decoder-1     [[1, 512, 16, 16], [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]]                                        [1, 64, 256, 256]                                               0       
   Conv2D-117                                          [[1, 64, 256, 256]]                                                                              [1, 3, 256, 256]                                              1,731     
==================================================================================================================================================================================================================================
Total params: 1,016,071
Trainable params: 988,551
Non-trainable params: 27,520
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Input size (MB): 0.75
Forward/backward pass size (MB): 2038.29
Params size (MB): 3.88
Estimated Total Size (MB): 2042.91
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

{'total_params': 1016071, 'trainable_params': 988551}
