----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Layer (type)                                                Input Shape                                                                                    Output Shape                                               Param #    
      Conv2D-22                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-22                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
       ConvBN-6                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
     BasicBlock-1                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-23                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-23                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-17                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-24                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-24                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
       ConvBN-7                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
     BasicBlock-2                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-25                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-25                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-18                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-26                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-26                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
       ConvBN-8                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
     BasicBlock-3                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-27                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-27                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-19                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-28                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-28                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
       ConvBN-9                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
     BasicBlock-4                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-29                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-29                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-20                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-30                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-30                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-10                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
     BasicBlock-5                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-31                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-31                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-21                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-32                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-32                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
