----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Layer (type)                                                Input Shape                                                                                    Output Shape                                               Param #    
   SyncBatchNorm-68                                          [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
    ConvBNReLU-37                                            [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                               0       
      Conv2D-69                                              [[1, 64, 128, 128]]                                                                              [1, 256, 64, 64]                                             147,456    
   SyncBatchNorm-69                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-32                                              [[1, 64, 128, 128]]                                                                              [1, 256, 64, 64]                                                0       
      Conv2D-70                                             [[1, 128, 128, 128]]                                                                              [1, 256, 64, 64]                                             294,912    
   SyncBatchNorm-70                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-33                                             [[1, 128, 128, 128]]                                                                              [1, 256, 64, 64]                                                0       
     FuseLayers-2                        [[[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64]]]                                      [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64]]                           0       
HighResolutionModule-2                   [[[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64]]]                                      [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64]]                           0       
      Conv2D-71                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-71                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-38                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-72                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-72                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-34                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-21                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-73                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-73                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-39                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-74                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-74                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-35                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-22                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-75                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-75                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-40                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-76                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-76                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-36                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-23                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-77                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-77                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-41                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-78                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-78                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-37                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-24                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-79                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-79                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-42                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-80                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-80                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-38                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-25                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-81                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-81                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-43                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-82                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-82                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-39                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-26                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-83                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-83                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-44                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-84                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-84                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-40                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-27                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-85                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-85                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-45                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-86                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-86                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-41                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-28                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-87                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
   SyncBatchNorm-87                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-46                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-88                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
   SyncBatchNorm-88                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-42                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-29                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-89                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
   SyncBatchNorm-89                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-47                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-90                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
   SyncBatchNorm-90                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-43                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-30                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-91                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
   SyncBatchNorm-91                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-48                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-92                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
   SyncBatchNorm-92                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-44                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-31                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-93                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
   SyncBatchNorm-93                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-49                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-94                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
   SyncBatchNorm-94                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-45                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-32                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Branches-3                         [[[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64]]]                                      [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64]]                           0       
      Conv2D-95                                             [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                             8,192     
   SyncBatchNorm-95                                          [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
      ConvBN-46                                             [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
      Conv2D-96                                              [[1, 256, 64, 64]]                                                                                [1, 64, 64, 64]                                             16,384     
   SyncBatchNorm-96                                           [[1, 64, 64, 64]]                                                                                [1, 64, 64, 64]                                               256      
      ConvBN-47                                              [[1, 256, 64, 64]]                                                                                [1, 64, 64, 64]                                                0       
      Conv2D-97                                              [[1, 64, 256, 256]]                                                                             [1, 128, 128, 128]                                            73,728     
   SyncBatchNorm-97                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-48                                              [[1, 64, 256, 256]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-98                                              [[1, 256, 64, 64]]                                                                               [1, 128, 64, 64]                                             32,768     
   SyncBatchNorm-98                                          [[1, 128, 64, 64]]                                                                               [1, 128, 64, 64]                                               512      
      ConvBN-49                                              [[1, 256, 64, 64]]                                                                               [1, 128, 64, 64]                                                0       
      Conv2D-99                                              [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                            36,864     
   SyncBatchNorm-99                                          [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
    ConvBNReLU-50                                            [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                               0       
      Conv2D-100                                             [[1, 64, 128, 128]]                                                                              [1, 256, 64, 64]                                             147,456    
  SyncBatchNorm-100                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-50                                              [[1, 64, 128, 128]]                                                                              [1, 256, 64, 64]                                                0       
      Conv2D-101                                            [[1, 128, 128, 128]]                                                                              [1, 256, 64, 64]                                             294,912    
  SyncBatchNorm-101                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-51                                             [[1, 128, 128, 128]]                                                                              [1, 256, 64, 64]                                                0       
     FuseLayers-3                        [[[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64]]]                                      [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64]]                           0       
HighResolutionModule-3                   [[[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64]]]                                      [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64]]                           0       
      Conv2D-102                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-102                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-51                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-103                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-103                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-52                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-33                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-104                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-104                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-52                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-105                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-105                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-53                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-34                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-106                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-106                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-53                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-107                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-107                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-54                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-35                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-108                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-108                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-54                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-109                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-109                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-55                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-36                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-110                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-110                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-55                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-111                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-111                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-56                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-37                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-112                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-112                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-56                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-113                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-113                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-57                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-38                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-114                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-114                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-57                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-115                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-115                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-58                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-39                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-116                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-116                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-58                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-117                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-117                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-59                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-40                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-118                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-118                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-59                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-119                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-119                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-60                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-41                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-120                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-120                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-60                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-121                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-121                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-61                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-42                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-122                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-122                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-61                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-123                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-123                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-62                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-43                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
